Município;Bovinos;Bubalinos;Equinos;Asininos;Muares;Caprinos;Ovinos;Suínos;Galinhas, galos, frangas, frangos e pintos;Codornas;Patos, gansos, marrecos, perdizes e faisões;Perus;Avestruzes;Coelhos
Pedro Avelino (RN);30,62114537;NA;3,9125;2,169117647;1,336538462;60,74390244;75,64794007;14,5;437,0867769;NA;7,872727273;3,166666667;NA;NA
Pedro Velho (RN);38,9245283;NA;3,41025641;1,5;1,695652174;6,972222222;13,27777778;14,23913043;169,5212766;2515;19;10,35714286;NA;NA
Pendências (RN);27,46846847;NA;3,795180723;1,755555556;1,268292683;40,86111111;40,26530612;6,481481481;25,47413793;NA;11,68571429;NA;NA;NA
Pilões (RN);22,11;NA;2,543478261;1,071428571;1,375;30,72727273;29,94;4,484848485;31,77380952;NA;18,875;NA;NA;NA
Poço Branco (RN);10,77695167;NA;2,102564103;NA;1;3,3;10,1588785;5,282051282;33,45263158;NA;12,125;6,272727273;NA;NA
Portalegre (RN);6,440594059;NA;1,545454545;1,09375;1;11,22727273;10,58333333;3,87434555;35,76888889;NA;14,5;NA;NA;NA
Porto do Mangue (RN);12,88709677;NA;2,428571429;2,142857143;1,269230769;29,57333333;21,35064935;5,545454545;26,85185185;NA;NA;NA;NA;NA
Serra Caiada (RN);11,85658915;NA;2,086956522;1,210526316;1,11627907;11,60606061;16,90163934;4,602564103;27,15454545;NA;10,33333333;4,5;NA;NA
Pureza (RN);19,82181818;NA;1,847682119;1,133333333;1,066666667;5,607142857;7,148148148;4,106666667;36,77429467;NA;8,857142857;NA;NA;NA
Rafael Fernandes (RN);14,96803653;NA;2,830188679;1,092592593;1,192307692;21,42307692;20,57575758;7,588785047;51,08366534;NA;19,5;4,166666667;NA;NA
Rafael Godeiro (RN);16,36723164;NA;2,117647059;1,119047619;1,233333333;11,2;17,66666667;2,875;29,86666667;NA;13,07692308;8,727272727;NA;NA
Riacho da Cruz (RN);19,69736842;NA;2,393939394;2;1,105263158;57,27272727;73,6440678;5,205882353;56,07142857;NA;11,3;NA;NA;NA
Riacho de Santana (RN);9,924460432;NA;1,457627119;1,115384615;1,25;8,671052632;9,166666667;4,219858156;36,64657534;NA;13,46590909;NA;NA;NA
Riachuelo (RN);19,12982456;NA;2,372093023;1,529411765;1,476190476;5,7;17,78313253;4,329545455;27,46263345;NA;13,21666667;6,275;NA;NA
Rodolfo Fernandes (RN);25,33783784;NA;1,952380952;1,214285714;1,347826087;43,69565217;41,53623188;8,644444444;184,6716418;NA;21,78947368;NA;NA;NA
Tibau (RN);108,8648649;NA;3,8;1,4;1,277777778;23,05;46,07894737;16,56;41,35384615;NA;11,28571429;NA;NA;NA
Ruy Barbosa (RN);13,24456522;NA;2,127272727;1,217948718;1,421052632;21,33333333;11,77173913;3,746666667;19,06703911;NA;9,88372093;NA;NA;NA
Santa Cruz (RN);19,7944664;NA;3,925925926;1,606060606;1,291666667;16,3875;24,41284404;5,253623188;2559,776256;NA;10,91428571;5,206896552;NA;7,666666667
Santana do Matos (RN);26,70658683;NA;2,745614035;2,071232877;1,470588235;34,275;36,23019802;4,446215139;26,78492647;15,6;9,810526316;4,272727273;NA;6,6
Santana do Seridó (RN);26,88095238;NA;3,473684211;1,105263158;NA;24;19,71428571;29,77777778;39,61290323;NA;13,33333333;NA;NA;NA
Santo Antônio (RN);23,90104167;NA;3,181818182;NA;1,35483871;8,842105263;16,86363636;6,9;45,85981308;NA;11,36842105;10;NA;NA
São Bento do Norte (RN);13,02040816;NA;2,217948718;NA;1,235294118;24,08108108;24,71794872;10,64516129;47,70987654;NA;9,421052632;3,846153846;NA;NA
São Bento do Trairí (RN);14,99193548;NA;3,459459459;1,348837209;1,448275862;15,5;23,11320755;2,916666667;1066,965217;NA;10,13888889;NA;NA;NA
São Fernando (RN);61,17419355;NA;2,573333333;1,742268041;1,4375;24;43,06862745;18,3943662;56,45801527;NA;11,22727273;4,782608696;NA;NA
São Francisco do Oeste (RN);18,36764706;NA;2,121212121;1,083333333;1,071428571;24,07407407;27,10294118;8,245901639;54,86111111;NA;19,03703704;NA;NA;NA
São Gonçalo do Amarante (RN);71,95327103;NA;6,467741935;3,5;1,7;5,4;24,87878788;16,43333333;652,7758621;NA;34,57142857;NA;NA;NA
São João do Sabugi (RN);22,27054795;NA;1,833333333;1,386597938;1,147058824;21,19811321;24,51351351;9,529411765;46,98237885;NA;13,2;NA;NA;NA
São José de Mipibu (RN);29,3715415;NA;6,401709402;1;1,071428571;12,22580645;17,76744186;13,83870968;1840,902062;NA;16,375;6,142857143;NA;NA
São José do Campestre (RN);24,58293839;NA;3,902439024;1,66;1,27027027;15,6122449;19,6;3,378378378;24,10588235;NA;9,875;6,096774194;NA;NA
São José do Seridó (RN);33,23888889;NA;1,690909091;1,269662921;1,230769231;53,27586207;36,66304348;17,47368421;101,5333333;NA;7,333333333;5,857142857;NA;NA
